YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM
2021,64,Colorado,5,32,96,Georgetown,12,64,73,Colorado
2021,64,Florida St.,4,16,64,UNC Greensboro,13,64,54,Florida St.
2021,64,BYU,6,64,62,UCLA,11,4,73,UCLA
2021,64,Texas,3,64,52,Abilene Christian,14,32,53,Abilene Christian
2021,64,Connecticut,7,64,54,Maryland,10,32,63,Maryland
2021,64,Alabama,2,16,68,Iona,15,64,55,Alabama
2021,64,Baylor,1,1,79,Hartford,16,64,55,Baylor
2021,64,North Carolina,8,64,62,Wisconsin,9,32,85,Wisconsin
2021,64,Villanova,5,16,73,Winthrop,12,64,63,Villanova
2021,64,Purdue,4,64,69,North Texas,13,32,78,North Texas
2021,64,Texas Tech,6,32,65,Utah St.,11,64,53,Texas Tech
2021,64,Arkansas,3,8,85,Colgate,14,64,68,Arkansas
2021,64,Florida,7,32,75,Virginia Tech,10,64,70,Florida
2021,64,Ohio St.,2,64,72,Oral Roberts,15,16,75,Oral Roberts
2021,64,Illinois,1,32,78,Drexel,16,64,49,Illinois
2021,64,Loyola Chicago,8,16,71,Georgia Tech,9,64,60,Loyola Chicago
2021,64,Tennessee,5,64,56,Oregon St.,12,8,70,Oregon St.
2021,64,Oklahoma St.,4,32,69,Liberty,13,64,60,Oklahoma St.
2021,64,San Diego St.,6,64,62,Syracuse,11,16,78,Syracuse
2021,64,West Virginia,3,32,84,Morehead St.,14,64,67,West Virginia
2021,64,Clemson,7,64,56,Rutgers,10,32,60,Rutgers
2021,64,Houston,2,4,87,Cleveland St.,15,64,56,Houston
2021,32,Gonzaga,1,2,87,Oklahoma,8,32,71,Gonzaga
2021,32,Creighton,5,16,72,Ohio,13,32,58,Creighton
2021,32,USC,6,8,85,Kansas,3,32,51,USC
2021,32,Oregon,7,16,95,Iowa,2,32,80,Oregon
2021,32,Michigan,1,8,86,LSU,8,32,78,Michigan
2021,32,Colorado,5,32,53,Florida St.,4,16,71,Florida St.
2021,32,UCLA,11,4,67,Abilene Christian,14,32,47,UCLA
2021,32,Maryland,10,32,77,Alabama,2,16,96,Alabama
2021,32,Baylor,1,1,76,Wisconsin,9,32,63,Baylor
2021,32,Villanova,5,16,84,North Texas,13,32,61,Villanova
2021,32,Texas Tech,6,32,66,Arkansas,3,8,68,Arkansas
2021,32,Florida,7,32,78,Oral Roberts,15,16,81,Oral Roberts
2021,32,Illinois,1,32,58,Loyola Chicago,8,16,71,Loyola Chicago
2021,32,Oregon St.,12,8,80,Oklahoma St.,4,32,70,Oregon St.
2021,32,Syracuse,11,16,75,West Virginia,3,32,72,Syracuse
2021,32,Rutgers,10,32,60,Houston,2,4,63,Houston
2021,16,Gonzaga,1,2,83,Creighton,5,16,65,Gonzaga
2021,16,USC,6,8,82,Oregon,7,16,68,USC
2021,16,Michigan,1,8,76,Florida St.,4,16,58,Michigan
2021,16,UCLA,11,4,88,Alabama,2,16,78,UCLA
2021,16,Baylor,1,1,62,Villanova,5,16,51,Baylor
2021,16,Arkansas,3,8,72,Oral Roberts,15,16,70,Arkansas
2021,16,Loyola Chicago,8,16,58,Oregon St.,12,8,65,Oregon St.
2021,16,Syracuse,11,16,46,Houston,2,4,62,Houston
2021,8,Gonzaga,1,2,85,USC,6,8,66,Gonzaga
2021,8,Michigan,1,8,49,UCLA,11,4,51,UCLA
2021,8,Baylor,1,1,81,Arkansas,3,8,72,Baylor
2021,8,Oregon St.,12,8,61,Houston,2,4,67,Houston
2021,4,Gonzaga,1,2,93,UCLA,11,4,90,Gonzaga
2021,4,Baylor,1,1,78,Houston,2,4,59,Baylor
2021,2,Gonzaga,1,2,70,Baylor,1,1,86,Baylor
2019,64,Duke,1,8,85,North Dakota St.,16,64,62,Duke
2019,64,VCU,8,64,58,UCF,9,32,73,UCF
2019,64,Mississippi St.,5,64,76,Liberty,12,32,80,Liberty
2019,64,Virginia Tech,4,16,66,Saint Louis,13,64,52,Virginia Tech
2019,64,Maryland,6,32,79,Belmont,11,64,77,Maryland
2019,64,LSU,3,16,79,Yale,14,64,74,LSU
2019,64,Louisville,7,64,76,Minnesota,10,32,86,Minnesota
2019,64,Michigan St.,2,4,76,Bradley,15,64,65,Michigan St.
2019,64,Gonzaga,1,8,87,Fairleigh Dickinson,16,64,49,Gonzaga
2019,64,Syracuse,8,64,69,Baylor,9,32,78,Baylor
2019,64,Marquette,5,64,64,Murray St.,12,32,83,Murray St.
2019,64,Florida St.,4,16,76,Vermont,13,64,69,Florida St.
2019,64,Buffalo,6,32,91,Arizona St.,11,64,74,Buffalo
2019,64,Texas Tech,3,2,72,Northern Kentucky,14,64,57,Texas Tech
2019,64,Nevada,7,64,61,Florida,10,32,70,Florida
2019,64,Michigan,2,16,74,Montana,15,64,55,Michigan
2019,64,Virginia,1,1,71,Gardner Webb,16,64,56,Virginia
2019,64,Mississippi,8,64,72,Oklahoma,9,32,95,Oklahoma
2019,64,Wisconsin,5,64,54,Oregon,12,16,72,Oregon
2019,64,Kansas St.,4,64,64,UC Irvine,13,32,70,UC Irvine
2019,64,Villanova,6,32,61,Saint Mary's,11,64,57,Villanova
2019,64,Purdue,3,8,61,Old Dominion,14,64,48,Purdue
2019,64,Cincinnati,7,64,72,Iowa,10,32,79,Iowa
2019,64,Tennessee,2,16,77,Colgate,15,64,70,Tennessee
2019,64,North Carolina,1,16,88,Iona,16,64,73,North Carolina
2019,64,Utah St.,8,64,61,Washington,9,32,78,Washington
2019,64,Auburn,5,4,78,New Mexico St.,12,64,77,Auburn
2019,64,Kansas,4,32,87,Northeastern,13,64,52,Kansas
